name,jenre,title,character,year
子安武人,アニメ,リングにかけろ 1-日米決戦編-,ブラックシャフト,2006/04/07
子安武人,アニメ,スパイダーライダーズ ～オラクルの勇者たち～,イグナス,2006/04/05
子安武人,アニメ,銀魂,高杉晋助,2006/04/04
子安武人,アニメ,桜蘭高校ホスト部,藤岡涼二,2006/04/04
子安武人,アニメ,Soul Link,新田和彦,2006/04/02
子安武人,アニメ,まじめにふまじめ かいけつゾロリ なぞのお宝大さくせん(劇場版),クルル曹長(ゲスト出演),2006/03/11
子安武人,アニメ,超劇場版 ケロロ軍曹,クルル曹長,2006/03/11
子安武人,ゲーム,魔界戦記ディスガイア2,うさぎさん,2006/02/23
子安武人,アニメ,吟遊黙示録マイネリーベ wieder,アイザック,2006/01/22
子安武人,アニメ,陰からマモル!,ずんく,2006/01/08
子安武人,アニメ,LEMON ANGEL PROJECT - レモンエンジェルプロジェクト -,氷室慎也,2006/01/07
子安武人,アニメ,鍵姫物語 永久アリス輪舞曲,タキオン,2006/01/04
子安武人,アニメ,勇者王ガオガイガーFINAL プロジェクトZ ー,山じい,2006
子安武人,漫画,To LOVEる -とらぶる-,ザスティン,2006
子安武人,ゲーム,キングダムハーツII,サイファー・アルマシー,2005/12/22
子安武人,アニメ,カレイドスター Legend of phoenix ～レイラ・ハミルトン物語～,フル・フール,2005/12/22
子安武人,ゲーム,テイルズ オブ ジ アビス,ジェイド・カーティス,2005/12/15
子安武人,ゲーム,ケロロ軍曹 メロメロバトルロイヤルZ,クルル曹長,2005/11/17
子安武人,ゲーム,機動戦士ガンダムSEED - 連合 vs. Z.A.F.T. -,ムゥ・ラ・フラガ,2005/11/17
子安武人,アニメ,地獄少女,本篠義之,2005/10/05
子安武人,ゲーム,第3次スーパーロボット大戦α - 終焉の銀河へ -,ゼクス・マーキス / ムウ・ラ・フラガ / ガムリン木崎,2005/07/28
子安武人,ゲーム,戦国BASARA,猿飛佐助,2005/07/21
子安武人,ゲーム,武蔵伝II ブレイドマスター,ガンドレイク,2005/07/07
子安武人,ゲーム,サクラ大戦Ⅴ ～さらば愛しき人よ～,加山雄一,2005/07/07
子安武人,アニメ,パタリロ西遊記!,バンコラン,2005/06
子安武人,アニメ,戦国英雄伝説 新釈 眞田十勇士 The Animation,霧隠才蔵,2005/05/07
子安武人,アニメ,SPEED GRAPHER (スピードグラファー),白金克也,2005/04/08
子安武人,アニメ,LOVELESS,律先生,2005/04/07
子安武人,アニメ,うえきの法則,李崩,2005/04/04
子安武人,ゲーム,シャイニング・フォース ネオ,クライン,2005/03/24
子安武人,アニメ,アンジェリーク (OVA版),オリヴィエ,2005/03/23
子安武人,漫画,シューピアリア,カガミ,2005/03/22
子安武人,ゲーム,ボボボーボ・ボーボボ 脱出!!ハジケ・ロワイアル,ボーボボ,2005/03/17
